model,model_label,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,evaluations,feature_count_mean
split_event_structural,Split-event Word TF-IDF + structural,0.3770087890276799,0.010962941139785406,0.36470842381230634,0.3857496935638492,3,32798.0
split_event_tfidf,Split-event Word TF-IDF,0.3438149951523484,0.010668958369471512,0.3329027286483933,0.35422274455458547,3,32768.0
raw_cell_tfidf,Raw-cell Word TF-IDF,0.3272465076826496,0.011415742536965513,0.31766325527959427,0.3398765095261572,3,32768.0
