seed,fold,model,model_label,SUBCLASS,f1
42,1,split_event_structural,Split-event Word TF-IDF + structural,OV,0.3238095238095238
42,1,split_event_structural,Split-event Word TF-IDF + structural,PAAD,0.12345679012345678
42,1,split_event_structural,Split-event Word TF-IDF + structural,PCPG,0.2978723404255319
42,1,split_event_structural,Split-event Word TF-IDF + structural,PRAD,0.3524229074889868
42,1,split_event_structural,Split-event Word TF-IDF + structural,SARC,0.1941747572815534
42,1,split_event_structural,Split-event Word TF-IDF + structural,SKCM,0.6926829268292682
42,1,split_event_structural,Split-event Word TF-IDF + structural,STES,0.3598326359832636
42,1,split_event_structural,Split-event Word TF-IDF + structural,TGCT,0.4576271186440678
42,1,split_event_structural,Split-event Word TF-IDF + structural,THCA,0.6696428571428571
42,1,split_event_structural,Split-event Word TF-IDF + structural,THYM,0.225
42,1,split_event_structural,Split-event Word TF-IDF + structural,UCEC,0.5
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,ACC,0.8363636363636363
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,BLCA,0.2641509433962264
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,BRCA,0.49287169042769857
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,CESC,0.07142857142857142
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,COAD,0.6666666666666666
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,DLBC,0.25
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,GBMLGG,0.2825278810408922
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,HNSC,0.1889763779527559
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,KIPAN,0.17142857142857143
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,KIRC,0.12844036697247707
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,LAML,0.47863247863247865
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,LGG,0.35294117647058826
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,LIHC,0.0898876404494382
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,LUAD,0.17475728155339806
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,LUSC,0.2777777777777778
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,OV,0.32456140350877194
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,PAAD,0.10810810810810811
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,PCPG,0.32432432432432434
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,PRAD,0.2111111111111111
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,SARC,0.07751937984496124
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,SKCM,0.48360655737704916
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,STES,0.340080971659919
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,TGCT,0.32432432432432434
42,2,raw_cell_tfidf,Raw-cell Word TF-IDF,THCA,0.6153846153846154
